code,name,description,category,url
PYRS,pyramids,ancient massive structures of square ground plan with four triangular faces meeting at a point and used for enclosing tombs,S,
MNQR,quarry(-ies),"a surface mine where building stone or gravel and sand, etc. are extracted",S,
QUAY,quay,a structure of solid construction along a shore or bank which provides berthing for ships and which generally provides cargo handling facilities,S,
QCKS,quicksand,"an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink",L,
RECR,racetrack,a track where races are held,S,
OBSR,radio observatory,a facility equipped with an array of antennae for receiving radio waves from space,S,
STNR,radio station,a facility for producing and transmitting information by radio waves,S,
RR,railroad,a permanent twin steel-rail track on which freight and passenger cars move long distances,R,
RJCT,railroad junction,a place where two or more railroad tracks join,R,
RSD,railroad siding,a short track parallel to and joining the main track,S,
RSGNL,railroad signal,a signal at the entrance of a particular section of track governing the movement of trains,S,
RSTN,railroad station,"a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight",S,
RSTP,railroad stop,a place lacking station facilities where trains stop to pick up and unload passengers and freight,S,
TNLRR,railroad tunnel,a tunnel through which a railroad passes,R,
RYD,railroad yard,"a system of tracks used for the making up of trains, and switching and storing freight cars",R,
RNCH,ranch(es),a large farm specializing in extensive grazing of livestock,S,
RPDS,rapids,"a turbulent section of a stream associated with a steep, irregular stream bed",H,
RVN,ravine(s),"a small, narrow, deep, steep-sided stream channel, smaller than a gorge",H,
RCH,reach,a straight section of a navigable stream or channel between two bends,H,
RF,reef(s),a surface-navigation hazard composed of consolidated material,H,
PRNJ,reformatory,"a facility for confining, training, and reforming young law offenders",S,
CMPRF,refugee camp,a camp used by refugees,S,
RGN,region,an area distinguished by one or more observable physical or cultural characteristics,L,
CTRR,religious center,"a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship",S,
PPLR,religious populated place,a populated place whose population is largely engaged in religious occupations,P,
RLG,religious site,an ancient site of significant religious importance,S,
ITTR,research institute,a facility where research is carried out,S,
RESV,reservation,"a tract of land set aside for aboriginal, tribal, or native populations",L,
RES,reserve,a tract of public land reserved for future use or restricted as to use,L,
RSV,reservoir(s),an artificial pond or lake,H,
RSRT,resort,"a specialized facility for vacation, health, or participation sports activities",S,
RHSE,resthouse,a structure maintained for the rest and shelter of travelers,S,
RLGR,retreat,"a place of temporary seclusion, especially for religious groups",S,
RDGE,ridge(s),"a long narrow elevation with steep sides, and a more or less continuous crest",T,
RD,road,"an open way with improved surface for transportation of animals, people and vehicles",R,
RDB,road bend,a conspicuously curved or bent section of a road,R,
RDCUT,road cut,an excavation cut through a hill or ridge for a road,R,
RDJCT,road junction,a place where two or more roads join,R,
TNLRD,road tunnel,a tunnel through which a road passes,R,
RDST,roadstead,an open anchorage affording less protection than a harbor,H,
RK,rock,"a conspicuous, isolated rocky mass",T,
HMDA,rock desert,"a relatively sand-free, high bedrock plateau in a hot desert, with or without a gravel veneer",T,
RKFL,rockfall,an irregular mass of fallen rock at the base of a cliff or steep slope,T,
RKS,rocks,"conspicuous, isolated rocky masses",T,
RKRY,rookery,a breeding place of a colony of birds or seals,S,
ESTR,rubber plantation,an estate which specializes in growing and tapping rubber trees,S,
RUIN,ruin(s),a destroyed or decayed structure which is no longer functional,S,
BDGQ,ruined bridge,a destroyed or decayed bridge which is no longer functional,S,
DAMQ,ruined dam,a destroyed or decayed dam which is no longer functional,S,
SBKH,sabkha(s),a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides,H,
SDL,saddle,"a broad, open pass crossing a ridge or between hills or mountains",T,
SALT,salt area,a shallow basin or flat where salt accumulates after periodic inundation,L,
MFGN,salt evaporation ponds,diked salt ponds used in the production of solar evaporated salt,H,
LKN,salt lake,an inland body of salt water with no outlet,H,
LKSN,salt lakes,inland bodies of salt water with no outlet,H,
MRSHN,salt marsh,"a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants",H,
MNN,salt mine(s),a mine from which salt is extracted,S,
PNDN,salt pond,"a small standing body of salt water often in a marsh or swamp, usually along a seacoast",H,
PNDSN,salt ponds,"small standing bodies of salt water often in a marsh or swamp, usually along a seacoast",H,
SNTR,sanatorium,a facility where victims of physical or mental disorders are treated,S,
SAND,sand area,a tract of land covered with sand,T,
ERG,sandy desert,an extensive tract of shifting sand and sand dunes,T,
STNS,satellite station,a facility for tracking and communicating with orbiting satellites,S,
MLSW,sawmill,a mill where logs or lumber are sawn to specified shapes and sizes,S,
SCH,school,building(s) where instruction in one or more branches of knowledge takes place,S,
ADMS,school district,school district,A,
STNB,scientific research base,a scientific facility used as a base from which research is carried out or monitored,S,
SCRB,scrubland,"an area of low trees, bushes, and shrubs stunted by some environmental limitation",V,
SEA,sea,a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean,H,
SCNU,seachannel,"a continuously sloping, elongated depression commonly found in fans or plains and customarily bordered by levees on one or two sides",U,
SCSU,seachannels,"continuously sloping, elongated depressions commonly found in fans or plains and customarily bordered by levees on one or two sides",U,
SMU,seamount,"an elevation rising generally more than 1,000 meters and of limited extent across the summit",U,
SMSU,seamounts,"elevations rising generally more than 1,000 meters and of limited extent across the summit",U,
AIRS,seaplane landing area,a place on a waterbody where floatplanes land and take off,H,
PPLA,seat of a first-order administrative division,seat of a first-order administrative division (PPLC takes precedence over PPLA),P,
PPLA4,seat of a fourth-order administrative division,seat of a fourth-order administrative division,P,
PPLA2,seat of a second-order administrative division,seat of a second-order administrative division,P,
PPLA3,seat of a third-order administrative division,seat of a third-order administrative division,P,
ADM2,second-order administrative division,a subdivision of a first-order administrative division,A,
BNKX,section of bank,section of bank,H,
CNLX,section of canal,section of canal,H,
ESTX,section of estate,section of estate,S,
HBRX,section of harbor,section of harbor,H,
PCLIX,section of independent political entity,section of independent political entity,A,
STMIX,section of intermittent stream,section of intermittent stream,H,
ISLX,section of island,section of island,T,
LGNX,section of lagoon,section of lagoon,H,
LKX,section of lake,section of lake,H,
PENX,section of peninsula,section of peninsula,T,
PLNX,section of plain,section of plain,T,
PLATX,section of plateau,section of plateau,T,
PPLX,section of populated place,section of populated place,P,
RFX,section of reef,section of reef,H,
STMX,section of stream,section of stream,H,
VALX,section of valley,section of valley,T,
WADX,section of wadi,section of wadi,H,
FLLSX,section of waterfall(s),section of waterfall(s),H,
PCLS,semi-independent political entity,semi-independent political entity,A,
SWT,sewage treatment plant,facility for the processing of sewage and/or wastewater,S,
SHPF,sheepfold,a fence or wall enclosure for sheep and other small herd animals,S,
SHOL,shoal(s),a surface-navigation hazard composed of unconsolidated material,H,
SHOPC,shopping center or mall,an urban shopping area featuring a variety of shops surrounding a usually open-air concourse reserved for pedestrian traffic; or a large suburban building or group of buildings containing various shops with associated passageways,S,
SHOR,shore,"a narrow zone bordering a waterbody which covers and uncovers at high and low water, respectively",T,
SHRN,shrine,a structure or place memorializing a person or religious concept,S,
SILL,sill,the low part of a gap or saddle separating basins,H,
SINK,sinkhole,a small crater-shape depression in a karst area,T,
ESTSL,sisal plantation,an estate that specializes in growing sisal,S,
SLID,slide,"a mound of earth material, at the base of a slope and the associated scoured area",T,
SLP,slope(s),a surface with a relatively uniform slope angle,T,
SLCE,sluice,"a conduit or passage for carrying off surplus water from a waterbody, usually regulated by means of a sluice gate",S,
SNOW,snowfield,an area of permanent snow and ice forming the accumulation area of a glacier,L,
SD,sound,a long arm of the sea forming a channel between the mainland and an island or islands; or connecting two larger bodies of water,H,
SPA,spa,a resort area usually developed around a medicinal spring,S,
CTRS,space center,"a facility for launching, tracking, or controlling satellites and space vehicles",S,
SPLY,spillway,"a passage or outlet through which surplus water flows over, around or through a dam",S,
SPIT,spit,"a narrow, straight or curved continuation of a beach into a waterbody",T,
SPNG,spring(s),a place where ground water flows naturally out of the ground,H,
SPUR,spur(s),"a subordinate ridge projecting outward from a hill, mountain or other elevation",T,
SQR,square,"a broad, open, public area near the center of a town or city",S,
STBL,stable,"a building for the shelter and feeding of farm animals, especially horses",S,
STDM,stadium,a structure with an enclosure for athletic games with tiers of seats for spectators,S,
STPS,steps,stones or slabs placed for ease in ascending or descending a steep slope,S,
STKR,stock route,a route taken by livestock herds,R,
REG,stony desert,a desert plain characterized by a surface veneer of gravel and stones,T,
RET,store,a building where goods and/or services are offered for sale,S,
SHSE,storehouse,"a building for storing goods, especially provisions",S,
STRT,strait,"a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water",H,
STM,stream,a body of running water moving to a lower level in a channel on land,H,
BNKR,stream bank,a sloping margin of a stream channel which normally confines the stream to its channel on land,H,
STMB,stream bend,a conspicuously curved or bent segment of a stream,H,
STMGS,stream gauging station,"named place where a measuring station for a watercourse, reservoir or other water body exists",S,
STMM,stream mouth(s),"a place where a stream discharges into a lagoon, lake, or the sea",H,
STMS,streams,bodies of running water moving to a lower level in a channel on land,H,
ST,street,a paved urban thoroughfare,R,
DAMSB,sub-surface dam,a dam put down to bedrock in a sand river,S,
SUBW,subway,"a railroad used for mass public transportation primarily in urban areas, all or part of the system may be located below, above, or at ground level",S,
SUBS,subway station,"a facility comprising ticket office, platforms, etc. for loading and unloading subway passengers",S,
MLSG,sugar mill,a facility where sugar cane is processed into raw sugar,S,
ESTSG,sugar plantation,an estate that specializes in growing sugar cane,S,
MFGSG,sugar refinery,a facility for converting raw sugar into refined sugar,S,
SPNS,sulphur spring(s),a place where sulphur ground water flows naturally out of the ground,H,
SWMP,swamp,a wetland dominated by tree vegetation,H,
SYG,synagogue,a place for Jewish worship and religious instruction,S,
TMTU,tablemount (or guyot),"a seamount having a comparatively smooth, flat top",U,
TMSU,tablemounts (or guyots),"seamounts having a comparatively smooth, flat top",U,
TAL,talus slope,a steep concave slope formed by an accumulation of loose rock fragments at the base of a cliff or steep slope,T,
OILT,tank farm,"a tract of land occupied by large, cylindrical, metal tanks in which oil or liquid petrochemicals are stored",S,
ESTT,tea plantation,an estate which specializes in growing tea bushes,S,
SCHT,technical school,post-secondary school with a specifically technical or vocational curriculum,S,
TMPL,temple(s),an edifice dedicated to religious worship,S,
AIRT,terminal,airport facilities for the handling of freight and passengers,S,
TRR,terrace,"a long, narrow alluvial platform bounded by steeper slopes above and below, usually overlooking a waterbody",T,
TERR,territory,territory,A,
ADM3,third-order administrative division,a subdivision of a second-order administrative division,A,
CRKT,tidal creek(s),a meandering channel in a coastal wetland subject to bi-directional tidal currents,H,
FLTT,tidal flat(s),a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide,H,
MNSN,tin mine(s),a mine where tin ore is extracted,S,
TOLL,toll gate/barrier,highway toll collection station,S,
TMB,tomb(s),a structure for interring bodies,S,
TOWR,tower,"a high conspicuous structure, typically much higher than its diameter",S,
RDCR,traffic circle,a road junction formed around a central circle about which traffic moves in one direction only,S,
TRL,trail,"a path, track, or route used by pedestrians, animals, or off-road vehicles",R,
TRANT,transit terminal,facilities for the handling of vehicular freight and passengers,S,
TREE,tree(s),a conspicuous tree used as a landmark,V,
TRIG,triangulation station,a point on the earth whose position has been determined by triangulation,S,
TRB,tribal area,a tract of land used by nomadic or other tribes,L,
TUND,tundra,"a marshy, treeless, high latitude plain, dominated by mosses, lichens, and low shrub vegetation under permafrost conditions",V,
TNL,tunnel,a subterranean passageway for transportation,R,
TNLS,tunnels,subterranean passageways for transportation,R,
CNLSB,underground irrigation canal(s),a gently inclined underground tunnel bringing water for irrigation from aquifers,H,
LKSB,underground lake,a standing body of water in a cave,H,
APNU,undersea apron,"a gentle slope, with a generally smooth surface, particularly found around groups of islands and seamounts",U,
ARCU,undersea arch,a low bulge around the southeastern end of the island of Hawaii,U,
ARRU,undersea arrugado,an area of subdued corrugations off Baja California,U,
BNKU,undersea bank,"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",U,
BKSU,undersea banks,"elevations, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for safe surface navigation",U,
BSNU,undersea basin,a depression more or less equidimensional in plan and of variable extent,U,
BNCU,undersea bench,a small terrace,U,
BDLU,undersea borderland,"a region adjacent to a continent, normally occupied by or bordering a shelf, that is highly irregular with depths well in excess of those typical of a shelf",U,
CNYU,undersea canyon,"a relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope",U,
CNSU,undersea canyons,"relatively narrow, deep depressions with steep sides, the bottom of which generally has a continuous slope",U,
CDAU,undersea cordillera,"an entire mountain system including the subordinate ranges, interior plateaus, and basins",U,
ESCU,undersea escarpment (or scarp),an elongated and comparatively steep slope separating flat or gently sloping areas,U,
FANU,undersea fan,a relatively smooth feature normally sloping away from the lower termination of a canyon or canyon system,U,
FLTU,undersea flat,a small level or nearly level area,U,
FRKU,undersea fork,a branch of a canyon or valley,U,
FRSU,undersea forks,a branch of a canyon or valley,U,
FRZU,undersea fracture zone,"an extensive linear zone of irregular topography of the sea floor, characterized by steep-sided or asymmetrical ridges, troughs, or escarpments",U,
FURU,undersea furrow,"a closed, linear, narrow, shallow depression",U,
GAPU,undersea gap,a narrow break in a ridge or rise,U,
GLYU,undersea gully,a small valley-like feature,U,
HLLU,undersea hill,an elevation rising generally less than 500 meters,U,
HLSU,undersea hills,elevations rising generally less than 500 meters,U,
HOLU,undersea hole,a small depression of the sea floor,U,
KNLU,undersea knoll,"an elevation rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summit",U,
KNSU,undersea knolls,"elevations rising generally more than 500 meters and less than 1,000 meters and of limited extent across the summits",U,
LDGU,undersea ledge,"a rocky projection or outcrop, commonly linear and near shore",U,
LEVU,undersea levee,"an embankment bordering a canyon, valley, or seachannel",U,
MDVU,undersea median valley,the axial depression of the mid-oceanic ridge system,U,
MESU,undersea mesa,"an isolated, extensive, flat-topped elevation on the shelf, with relatively steep sides",U,
MOTU,undersea moat,"an annular depression that may not be continuous, located at the base of many seamounts, islands, and other isolated elevations",U,
MNDU,undersea mound,"a low, isolated, rounded hill",U,
MTU,undersea mountain,a well-delineated subdivision of a large and complex positive feature,U,
MTSU,undersea mountains,well-delineated subdivisions of a large and complex positive feature,U,
PKU,undersea peak,"a prominent elevation, part of a larger feature, either pointed or of very limited extent across the summit",U,
PKSU,undersea peaks,"prominent elevations, part of a larger feature, either pointed or of very limited extent across the summit",U,
PNLU,undersea pinnacle,"a high tower or spire-shaped pillar of rock or coral, alone or cresting a summit",U,
PLNU,undersea plain,"a flat, gently sloping or nearly level region",U,
PLTU,undersea plateau,"a comparatively flat-topped feature of considerable extent, dropping off abruptly on one or more sides",U,
PLFU,undersea platform,a flat or gently sloping underwater surface extending seaward from the shore,U,
PRVU,undersea province,a region identifiable by a group of similar physiographic features whose characteristics are markedly in contrast with surrounding areas,U,
RMPU,undersea ramp,a gentle slope connecting areas of different elevations,U,
RNGU,undersea range,a series of associated ridges or seamounts,U,
RAVU,undersea ravine,a small canyon,U,
RFU,undersea reef,a surface-navigation hazard composed of consolidated material,U,
RFSU,undersea reefs,surface-navigation hazards composed of consolidated material,U,
RDGU,undersea ridge,a long narrow elevation with steep sides,U,
RDSU,undersea ridges,long narrow elevations with steep sides,U,
RISU,undersea rise,"a broad elevation that rises gently, and generally smoothly, from the sea floor",U,
SDLU,undersea saddle,"a low part, resembling in shape a saddle, in a ridge or between contiguous seamounts",U,
SHFU,undersea shelf,a zone adjacent to a continent (or around an island) that extends from the low water line to a depth at which there is usually a marked increase of slope towards oceanic depths,U,
EDGU,undersea shelf edge,a line along which there is a marked increase of slope at the outer margin of a continental shelf or island shelf,U,
SHVU,undersea shelf valley,"a valley on the shelf, generally the shoreward extension of a canyon",U,
SHLU,undersea shoal,a surface-navigation hazard composed of unconsolidated material,U,
SHSU,undersea shoals,hazards to surface navigation composed of unconsolidated material,U,
SILU,undersea sill,"the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord",U,
SLPU,undersea slope,the slope seaward from the shelf edge to the beginning of a continental rise or the point where there is a general reduction in slope,U,
SPRU,undersea spur,"a subordinate elevation, ridge, or rise projecting outward from a larger feature",U,
TERU,undersea terrace,"a relatively flat horizontal or gently inclined surface, sometimes long and narrow, which is bounded by a steeper ascending slope on one side and by a steep descending slope on the opposite side",U,
TNGU,undersea tongue,an elongate (tongue-like) extension of a flat sea floor into an adjacent higher feature,U,
TRNU,undersea trench,"a long, narrow, characteristically very deep and asymmetrical depression of the sea floor, with relatively steep sides",U,
TRGU,undersea trough,"a long depression of the sea floor characteristically flat bottomed and steep sided, and normally shallower than a trench",U,
VALU,undersea valley,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",U,
VLSU,undersea valleys,"a relatively shallow, wide depression, the bottom of which usually has a continuous gradient",U,
USGE,United States Government Establishment,a facility operated by the United States Government in Panama,S,
UPLD,upland,an extensive interior region of high land with low to moderate surface relief,T,
VAL,valley,an elongated depression usually traversed by a stream,T,
VALS,valleys,elongated depressions usually traversed by a stream,T,
VETF,veterinary facility,a building or camp at which veterinary services are available,S,
VIN,vineyard,a planting of grapevines,V,
VINS,vineyards,plantings of grapevines,V,
VLC,volcano,a conical elevation composed of volcanic materials with a crater at the top,T,
WAD,wadi,"a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse; found primarily in North Africa and the Middle East",H,
WADB,wadi bend,a conspicuously curved or bent segment of a wadi,H,
WADJ,wadi junction,a place where two or more wadies join,H,
WADM,wadi mouth,"the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody",H,
WADS,wadies,"valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses; found primarily in North Africa and the Middle East",H,
WALL,wall,"a thick masonry structure, usually enclosing a field or building, or forming the side of a structure",S,
MLWTR,water mill,a mill powered by running water,S,
PMPW,water pumping station,a facility for pumping water from a major well or through a pipeline,S,
RSVT,water tank,"a contained pool or tank of water at, below, or above ground level",H,
WTRC,watercourse,"a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water",H,
FLLS,waterfall(s),a perpendicular or very steep descent of the water of a stream,H,
WTRH,waterhole(s),"a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas",H,
WTRW,waterworks,a facility for supplying potable water through a water source and a system of pumps and filtration beds,S,
WEIR,weir(s),"a small dam in a stream, designed to raise the water level or to divert stream flow through a desired channel",S,
WLL,well,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",H,
WLLS,wells,"cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",H,
WTLD,wetland,"an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation",H,
STNW,whaling station,a facility for butchering whales and processing train oil,S,
WHRF,wharf(-ves),a structure of open rather than solid construction along a shore or a bank which provides berthing for ships and cargo-handling facilities,S,
WHRL,whirlpool,"a turbulent, rotating movement of water in a stream",H,
RESW,wildlife reserve,a tract of public land reserved for the preservation of wildlife,L,
MLWND,windmill,a mill or water pump powered by wind,S,
WRCK,wreck,the site of the remains of a wrecked vessel,S,
ZN,zone,zone,A,
ZOO,zoo,a zoological garden or park where wild animals are kept for exhibition,S,
